526540,Angelique,Goodwin,F,angelique.goodwin@gmail.com,5/15/1964,3/24/2001,193710,471-57-0359,212-884-7146,Rochester,Monroe,Rochester
859327,Jeni,Shaffer,F,jeni.shaffer@gmail.com,1/13/1962,12/10/2015,144133,624-85-4146,205-665-7020,Luverne,Crenshaw,Luverne
887387,Donald,Farris,F,donald.farris@bellsouth.net,4/11/1958,11/12/1979,132617,097-02-3315,205-959-7879,Hodges,Franklin,Hodges
779497,Steven,Rendon,M,steven.rendon@gmail.com,4/4/1982,9/18/2008,77898,134-98-6566,217-858-0054,Savoy,Champaign,Savoy
896517,Jenell,Almanza,F,jenell.almanza@yahoo.com,7/1/1958,7/14/1993,139856,599-92-7345,314-893-2590,Stet,Carroll,Stet
220965,Almeta,Brookins,F,almeta.brookins@gmail.com,5/8/1985,4/25/2017,90576,109-98-3095,229-238-0915,Lyons,Toombs,Lyons
721091,Bobbie,Branson,M,bobbie.branson@hotmail.com,2/10/1996,4/27/2017,178641,047-15-8435,216-849-6986,Kalida,Putnam,Kalida
633636,Bertram,Carlisle,M,bertram.carlisle@aol.com,12/31/1982,11/2/2012,163773,257-99-3865,215-614-1953,Hamilton,Jefferson,Hamilton
823898,Carlton,Leclair,M,carlton.leclair@cox.net,3/17/1986,1/7/2009,50397,044-15-4027,319-943-1308,Panama,Shelby,Panama
413865,Todd,Slater,M,todd.slater@earthlink.net,6/9/1995,3/7/2017,54458,553-99-2106,218-671-2547,Young America,Carver,Young America
439483,Adalberto,Hazel,M,adalberto.hazel@yahoo.co.in,12/8/1959,4/27/1995,120471,264-99-9423,262-893-5324,Bear Creek,Outagamie,Bear Creek
809408,Seymour,Nelson,M,seymour.nelson@hotmail.com,1/21/1996,7/2/2017,77853,119-98-1796,215-821-4109,Harleysville,Montgomery,Harleysville
748190,Vicente,Dawkins,M,vicente.dawkins@gmail.com,6/17/1994,7/2/2016,169446,116-98-6696,217-567-3339,Reddick,Kankakee,Reddick
397283,Rex,Ng,M,rex.ng@yahoo.com,8/22/1982,1/17/2007,153446,192-86-7823,215-352-5080,Kreamer,Snyder,Kreamer
553684,Arlena,Clough,F,arlena.clough@yahoo.com,10/15/1957,12/26/2015,95109,032-92-6090,316-737-9183,Sublette,Haskell,Sublette
495667,Cory,Clarke,M,cory.clarke@shell.com,6/2/1980,4/27/2012,179134,731-28-8642,480-381-5936,Mesa,Maricopa,Mesa
936158,Sofia,Poole,F,sofia.poole@earthlink.net,12/3/1964,7/18/1993,150019,126-98-9929,215-824-1223,Brockway,Jefferson,Brockway
537591,Samuel,Wendt,M,samuel.wendt@bellsouth.net,11/25/1976,2/24/2016,198487,369-39-1426,229-497-4180,Atlanta,Fulton,Atlanta
909018,Virgil,Trowbridge,M,virgil.trowbridge@aol.com,4/6/1986,11/21/2016,199714,005-13-9026,202-652-7351,Washington,District of Columbia,Washington
878666,Elda,Champagne,F,elda.champagne@gmail.com,5/21/1983,11/8/2016,146140,540-83-9723,218-621-9347,Lake Itasca,Lake Itasca,Lake Itasca
995710,Robert,Guinn,M,robert.guinn@walmart.com,6/14/1972,1/8/1997,86539,403-73-1584,219-797-9997,Montpelier,Blackford,Montpelier
